Ticket,Problem,Solution
331451,There are charges for a phone number that I don't have and a phone I don't have on my cell phone bill.,Billing corrected
331822,"Cannot login to MacBook - Password not accepted

Peter confirmed that he was entering the correct password. ","Peter Marrello reached out to me via Teams, claiming that he is unable to log in to his MacBook's local account because the password wasn't working. I tried giving him all possible solutions, but none of them worked for him. The last resort was to guide him through macOS Recovery and help him create a new password using the FileVault Recovery Key. It worked and allowed him to create a new password."
330935,"Laptop just has spinning circle not able to login; requesting for someone to go down to have a look as today is Council 

- Laurie Robinson called in advising Genevieve is not able to log into her laptop; just getting a spinning circle; and they are requesting for someone to go onsite to have a look as today is Council; have tried calling Ray but got no reply; have spoken to Kos about ticket;",Laptop took some time to update.
331768,"When I try to make a call it says""your home cellular company has not authorized us to provide service.  Please contact your home cellular company."" 

I need my cell while working remotely.

I am not in the office so please contact me via e-mail.",Rogers reset the network
331654,"Please release any emails from support@cateater.com

We require the license key ASAP for the recently purchased software Stop Motion Pro for STEM Recreation computers
",The email was successfully released to the user
331814,android phone so not updating,"Phone started updating email late. Advised client to try and restart the phone, check network connection, and reconnect to the network if issue occurs again."
331815,"issue with transit self service, unable to log in","Account was locked, unlocking fixed the issue on transit self service side as well"
330984,"S/N GG7YQ1WEJF89 - does not have a phone/data connection, unsure if it ever did. Would like more information. 
","f data is required on the IPAD you will need to submit a request for a data plan for the IPAD.

It is $14.99/month"
331773,"client was informed that PIR would be loaded automatically for Camper website however the location for CLTC has not appeared. 

Client requires this update by next week, they did not follow up as they were told it would be done automatically. ",value missing from related reference list
331805,22h2 keeps failing,not enought disk space. deleted her oldprofile brenda.old and freed up 50gb. client will run it overnight.
331802,issues with authenticator app number for austin to keep her app is not showing up,setup mfa again
331752,so this morning when i'm trying to log into my city branch email so i can complete some trainings authenticated when i went to go press it it says it showed this number of fifty that should log into but as i logged into my authenticate appear when it saw any code even though it slogged in logs into the city we haven't emailed there,setup mfa again and this resolved issue
331693,"TLMS is not working, client is a new employee, onboarded along with 3 other employees, and TLMS is working for the other employees, just not Athavi Jeyakumar. SucessFactors: Invalid Login

Athavi.Jeyakumar@brampton.ca",Email had to be created
331615,"Client's Usb C charger has stopped working, a replacement is needed

New Equipment 
USB-C Cable ",client received new charger
331756,outlook not loading,recreate profile
331484,laptop will not turn on i just get the black screen with a blue and great menu with a couple options,Laptop swapped out
331753,"PM Scan not allowing user to login 
User doesnt know her password
Need password reset most likely",unlock user's account and reset password
330496,switched over to a new phone so mf is not working it will not let me log in to teams or outlook,client confirm mfa is working
331270,The client  started with the City 6 weeks ago and has not been able to access MeOnline. Keeps getting below error message.  ,"When his contract ended, his account did not lock.
I had to lock the account and wait for the migration to happen"
331749,not able to log in wiht temp password,reset password and client able to log in
331858,camprine pdf piles files it gives me the document cannot be printed kindly use help page to troubleshoot,Needed to update Adobe in order to get it to print
331414,"remove from exception adn add to mfa reg - 11:40 am
advised client to try in 20mins and call back if issue with setup",intune shows he has been setup in mfa
331360,hi i um i'm trying to register on the app on i think tls for my cash training but when i go to click on it it says that my login is invalid so i was just wondering how i can fix that because i need a register for my training and all the other applications for my account are working normally,Data not migrated yet (EDC not processed yet or tried on first day)
331415,"Computer very slow, unable to use start search

Windows settings keeps crashing, unable to repair O365 

Outlook not opening or connecting to server
Teams not connecting to server 

Software center taking too long to ",Laptop swapped
